date,name,market_cap,volume,open,close
2021-11-01,Bitcoin,1159841954948.0,32494948461.0,61472.0,61472.0
2021-10-31,Bitcoin,1166423768410.0,31810216330.0,61837.0,61472.0
2021-10-30,Bitcoin,1178047465292.0,38648967245.0,62283.0,61837.0
2021-10-29,Bitcoin,1145912030969.0,52318597557.0,60768.0,62283.0
2021-10-28,Bitcoin,1105754837661.0,43976252157.0,58641.0,60768.0
2021-10-27,Bitcoin,1143497865065.0,33233702858.0,60604.0,58641.0
2021-10-26,Bitcoin,1192131994833.0,30852852368.0,63228.0,60604.0
2021-10-25,Bitcoin,1153315262663.0,29982535557.0,61173.0,63228.0
2021-10-24,Bitcoin,1161166467847.0,28505039148.0,61572.0,61173.0
2021-10-23,Bitcoin,1151508584005.0,40766460605.0,61029.0,61572.0
2021-10-22,Bitcoin,1178926819141.0,48709960686.0,62541.0,61029.0
2021-10-21,Bitcoin,1250376460616.0,40790757382.0,66238.0,62541.0
2021-10-20,Bitcoin,1217582580303.0,42550624869.0,64518.0,66238.0
2021-10-19,Bitcoin,1173944883530.0,39610183787.0,62018.0,64518.0
2021-10-18,Bitcoin,1160650121142.0,29625957542.0,61584.0,62018.0
2021-10-17,Bitcoin,1153847028825.0,35385452269.0,61166.0,61584.0
2021-10-16,Bitcoin,1164782155730.0,53653355008.0,61809.0,61166.0
2021-10-15,Bitcoin,1082900149763.0,35994603913.0,57452.0,61809.0
2021-10-14,Bitcoin,1083366079899.0,41216945749.0,57488.0,57452.0
2021-10-13,Bitcoin,1061829863954.0,40021384611.0,56335.0,57488.0
2021-10-12,Bitcoin,1084736227838.0,41913482915.0,57573.0,56335.0
2021-10-11,Bitcoin,1030788036762.0,38579271671.0,54712.0,57573.0
2021-10-10,Bitcoin,1038524699061.0,31927344846.0,55125.0,54712.0
2021-10-09,Bitcoin,1016650501581.0,33935485257.0,54011.0,55125.0
2021-10-08,Bitcoin,1015246512239.0,36549815857.0,53895.0,54011.0
2021-10-07,Bitcoin,1044675252844.0,48462388016.0,55415.0,53895.0
2021-10-06,Bitcoin,973040988103.0,35480330025.0,51669.0,55415.0
2021-10-05,Bitcoin,927812140868.0,32691763060.0,49260.0,51669.0
2021-10-04,Bitcoin,910331395887.0,26034594562.0,48283.0,49260.0
2021-10-03,Bitcoin,900582483713.0,29742127388.0,47778.0,48283.0
2021-10-02,Bitcoin,906929641889.0,42089383190.0,48182.0,47778.0
2021-10-01,Bitcoin,827840965060.0,30859918335.0,43859.0,48182.0
2021-09-30,Bitcoin,782626384092.0,30068690312.0,41588.0,43859.0
2021-09-29,Bitcoin,775534111089.0,29691944223.0,41010.0,41588.0
2021-09-28,Bitcoin,794889951096.0,30483144439.0,42247.0,41010.0
2021-09-27,Bitcoin,825341135636.0,30462815705.0,43337.0,42247.0
2021-09-26,Bitcoin,808279417023.0,30898116660.0,42857.0,43337.0
2021-09-25,Bitcoin,809772498813.0,42973070343.0,42752.0,42857.0
2021-09-24,Bitcoin,846615719474.0,33594750550.0,44981.0,42752.0
2021-09-23,Bitcoin,820460824051.0,36624234960.0,43587.0,44981.0
2021-09-22,Bitcoin,760802031651.0,45940419565.0,40387.0,43587.0
2021-09-21,Bitcoin,805826302811.0,41220025454.0,42933.0,40387.0
2021-09-20,Bitcoin,891560241243.0,26163167369.0,47371.0,42933.0
2021-09-19,Bitcoin,907957032341.0,27630476158.0,48267.0,47371.0
2021-09-18,Bitcoin,892585184978.0,27731209179.0,47229.0,48267.0
2021-09-17,Bitcoin,900990520812.0,31578783375.0,47879.0,47229.0
2021-09-16,Bitcoin,906727769791.0,30037816650.0,48187.0,47879.0
2021-09-15,Bitcoin,886524004597.0,38645575966.0,47135.0,48187.0
2021-09-14,Bitcoin,848992511474.0,40683028028.0,45140.0,47135.0
2021-09-13,Bitcoin,869122611514.0,27585855039.0,46195.0,45140.0
2021-09-12,Bitcoin,849828231596.0,34160277726.0,45196.0,46195.0
2021-09-11,Bitcoin,842222636395.0,38051987740.0,44803.0,45196.0
2021-09-10,Bitcoin,876179332244.0,38581092904.0,46519.0,44803.0
2021-09-09,Bitcoin,866885887154.0,48151104381.0,46085.0,46519.0
2021-09-08,Bitcoin,881943904969.0,64010507329.0,46995.0,46085.0
2021-09-07,Bitcoin,992868819862.0,37532574717.0,52740.0,46995.0
2021-09-06,Bitcoin,971284117138.0,31765191430.0,51696.0,52740.0
2021-09-05,Bitcoin,940538655660.0,36985805207.0,50013.0,51696.0
2021-09-04,Bitcoin,937295558515.0,42934455726.0,49935.0,50013.0
2021-09-03,Bitcoin,927323146557.0,39362789535.0,49339.0,49935.0
2021-09-02,Bitcoin,918058330851.0,39060601275.0,48823.0,49339.0
2021-09-01,Bitcoin,890014982635.0,34868965959.0,47335.0,48823.0
2021-08-31,Bitcoin,885729258053.0,32326073272.0,47124.0,47335.0
2021-08-30,Bitcoin,919515378469.0,26244843558.0,48907.0,47124.0
2021-08-29,Bitcoin,920017911099.0,28491785397.0,48937.0,48907.0
2021-08-28,Bitcoin,922969799299.0,34607868773.0,49083.0,48937.0
2021-08-27,Bitcoin,887832142450.0,33774857003.0,47229.0,49083.0
2021-08-26,Bitcoin,921328247354.0,33517327124.0,49003.0,47229.0
2021-08-25,Bitcoin,902489541308.0,38387146175.0,47941.0,49003.0
2021-08-24,Bitcoin,930729196214.0,35800255386.0,49519.0,47941.0
2021-08-23,Bitcoin,925630106451.0,27110183703.0,49251.0,49519.0
2021-08-22,Bitcoin,920750216465.0,42147725293.0,48934.0,49251.0
2021-08-21,Bitcoin,923013359587.0,36497089237.0,49196.0,48934.0
2021-08-20,Bitcoin,867650725473.0,38434805723.0,46745.0,49196.0
2021-08-19,Bitcoin,847143004615.0,34668999388.0,45015.0,46745.0
2021-08-18,Bitcoin,836777066606.0,34488116651.0,44534.0,45015.0
2021-08-17,Bitcoin,866391335029.0,34221605780.0,46032.0,44534.0
2021-08-16,Bitcoin,882888202378.0,32863850458.0,47025.0,46032.0
2021-08-15,Bitcoin,886593539913.0,33294851811.0,47089.0,47025.0
2021-08-14,Bitcoin,895084141169.0,34320865037.0,47717.0,47089.0
2021-08-13,Bitcoin,836054770492.0,35838614930.0,44495.0,47717.0
2021-08-12,Bitcoin,857660568377.0,35679832771.0,45652.0,44495.0
2021-08-11,Bitcoin,854344953099.0,35669862362.0,45640.0,45652.0
2021-08-10,Bitcoin,861862844506.0,42726733998.0,46311.0,45640.0
2021-08-09,Bitcoin,821704814136.0,39633218479.0,43753.0,46311.0
2021-08-08,Bitcoin,838457486988.0,42725276705.0,44648.0,43753.0
2021-08-07,Bitcoin,803853127161.0,40840608017.0,42802.0,44648.0
2021-08-06,Bitcoin,768416417394.0,38527930905.0,40825.0,42802.0
2021-08-05,Bitcoin,747085951935.0,27751046040.0,39752.0,40825.0
2021-08-04,Bitcoin,720835141114.0,28422901237.0,38368.0,39752.0
2021-08-03,Bitcoin,737440183776.0,28057528866.0,39279.0,38368.0
2021-08-02,Bitcoin,747403845432.0,28555173662.0,39915.0,39279.0
2021-08-01,Bitcoin,786531956384.0,35530501783.0,41936.0,41754.0
